AIRLINE,ORIGIN_AIRPORT,DESTINATION_AIRPORT,ARRIVAL_DELAY
DL,ATL,IAH,-2.0
DL,SLC,PHL,-33.0
DL,ATL,BOS,-2.0
DL,DEN,ATL,-24.0
DL,RSW,ATL,10.0
DL,LGA,FLL,112.0
DL,ATL,DFW,-17.0
DL,MIA,ATL,-11.0
DL,ATL,EWR,-23.0
DL,PBI,ATL,-18.0
DL,MSP,BOS,1.0
EV,MAF,IAH,37.0
EV,IAH,MAF,-8.0
EV,ATL,GNV,-10.0
EV,ILM,ATL,-11.0
EV,CLE,MSP,-2.0
EV,MSP,STL,13.0
EV,LNK,ORD,-27.0
EV,ATL,CAE,-10.0
F9,ORD,TTN,-6.0
MQ,MIA,JAX,-11.0
MQ,ORD,MDT,-21.0
MQ,GGG,DFW,-5.0
MQ,ORD,SYR,-22.0
OO,ORD,ICT,10.0
OO,BUR,PDX,-8.0
OO,OMA,SEA,52.0
OO,ATL,TYS,-10.0
OO,MSP,LAN,-1.0
OO,SEA,BOI,-13.0
OO,SLC,BUR,-7.0
OO,SLC,SNA,-16.0
OO,BZN,DEN,-21.0
OO,PHX,LAX,-3.0
UA,EWR,LAX,52.0
UA,ORD,DEN,-13.0
WN,CMH,DCA,69.0
WN,CRP,HOU,-3.0
WN,DAL,HOU,13.0
WN,DCA,MDW,7.0
WN,DEN,MDW,-1.0
WN,ATL,TPA,-7.0
WN,BDL,TPA,-10.0
WN,SMF,MDW,1.0
WN,HOU,DAL,0.0
WN,MCI,DAL,-3.0
WN,OMA,DEN,97.0
WN,PDX,LAX,4.0
WN,PDX,OAK,31.0
WN,PVD,BWI,-2.0
WN,RNO,LAS,13.0
WN,SFO,SNA,-29.0
WN,SJC,LAS,13.0
AA,SFO,JFK,-40.0
AA,ORD,TPA,-16.0
AA,EWR,CLT,-6.0
AA,LGA,DFW,0.0
AA,RSW,DFW,12.0
AA,ORD,MIA,7.0
AA,DFW,LAX,-18.0
AA,IAH,PHX,-13.0
AA,PHX,PDX,-6.0
AA,SEA,PHX,-8.0
AA,BOS,DCA,-2.0
AA,LGA,DCA,-19.0
AA,ORD,LGA,-24.0
B6,RDU,BOS,-13.0
B6,BOS,CLT,15.0
AS,SEA,SFO,26.0
AS,SEA,SMF,-13.0
DL,SJU,JFK,22.0
EV,GPT,IAH,-14.0
HA,HNL,KOA,-12.0
MQ,BUF,ORD,-23.0
OO,MKE,ORD,38.0
UA,MIA,DEN,-19.0
EV,MOB,IAH,-24.0
EV,PNS,IAH,-2.0
DL,MSP,DCA,-15.0
DL,SLC,ONT,1.0
DL,PHX,JFK,-36.0
EV,TYR,DFW,-19.0
DL,SJU,ATL,-31.0
DL,SLC,OAK,-9.0
EV,DFW,PIA,-18.0
DL,ATL,CLT,-18.0
DL,JFK,TPA,-4.0
EV,DFW,ACT,-8.0
EV,DFW,CAE,-8.0
EV,CHA,ATL,-9.0
EV,GNV,ATL,525.0
EV,LGA,RIC,-26.0
EV,ATL,MGM,-7.0
EV,ATL,JAN,-4.0
HA,HNL,LAX,-13.0
MQ,DFW,CLL,-6.0
MQ,ORD,CMI,-3.0
MQ,DFW,CVG,6.0
MQ,CLE,ORD,-16.0
MQ,ORD,ROC,-16.0
NK,DEN,IAH,7.0
NK,DEN,LAX,-4.0
OO,CDC,SLC,6.0
OO,SLC,MFR,-18.0
OO,SLC,EUG,-29.0
OO,SLC,PSP,-10.0
OO,SLC,FCA,30.0
OO,SFO,LAX,59.0
UA,DEN,IAH,-2.0
UA,SFO,ORD,-56.0
WN,BNA,LGA,-18.0
WN,HOU,GSP,-12.0
WN,LGA,STL,-28.0
WN,MDW,DEN,-8.0
WN,MSY,AUS,-11.0
WN,PHX,LAX,14.0
AA,ORD,MCO,-14.0
AA,PHX,HNL,-16.0
AA,ORD,CLT,-9.0
B6,LAS,SFO,7.0
AS,HNL,SJC,-29.0
EV,OMA,ORD,-23.0
NK,FLL,ACY,139.0
OO,MKG,ORD,29.0
OO,SFO,BUR,-18.0
UA,AUS,SFO,-10.0
AA,RDU,MIA,13.0
DL,ATL,BUF,47.0
DL,MSP,ATL,-9.0
EV,HPN,ATL,1.0
MQ,BWI,ORD,-17.0
MQ,ABI,DFW,-7.0
MQ,SDF,ORD,-8.0
OO,ORD,CHO,-15.0
OO,LAX,ABQ,-17.0
UA,MIA,IAH,-2.0
AA,MKE,DFW,24.0
AA,ORF,DFW,-12.0
AA,DFW,CMH,-32.0
B6,TPA,SJU,3.0
B6,SJU,BDL,-10.0
DL,FLL,JFK,-30.0
DL,ATL,RDU,-7.0
DL,ATL,MIA,-12.0
DL,LGA,MCO,-30.0
DL,SLC,LAX,-1.0
DL,STL,MSP,-11.0
F9,STL,TPA,-12.0
F9,ATL,LAX,-28.0
HA,OGG,SFO,-13.0
MQ,ORD,CVG,-14.0
HA,OGG,HNL,15.0
MQ,FAR,DFW,26.0
MQ,BIS,ORD,-1.0
MQ,HOU,DFW,-19.0
MQ,CMH,ORD,-30.0
MQ,GRK,DFW,-31.0
NK,MCO,DTW,35.0
NK,PHX,MSP,13.0
OO,PSP,PHX,-9.0
OO,SLC,PHX,-2.0
OO,MSP,BNA,-1.0
OO,DEN,RKS,-13.0
VX,SFO,JFK,-18.0
WN,DAL,LAX,6.0
WN,DAL,SJC,10.0
WN,DAL,STL,9.0
WN,DAY,BWI,13.0
WN,BNA,HOU,5.0
WN,BNA,PHX,-7.0
WN,BWI,PIT,-4.0
WN,CLE,MDW,23.0
WN,STL,DCA,-1.0
WN,TPA,DCA,-16.0
WN,HOU,DCA,-10.0
WN,ISP,PBI,21.0
WN,LAS,SMF,44.0
WN,LGA,MDW,-11.0
WN,SAN,SEA,19.0
WN,SAN,SJC,44.0
WN,SFO,MDW,-28.0
WN,SJC,PHX,53.0
AA,DFW,JAX,48.0
AA,DFW,MIA,-6.0
AA,FLL,DFW,-8.0
AA,DFW,DCA,-21.0
AA,DFW,BNA,-20.0
AA,DFW,TPA,-20.0
AA,DFW,PHX,-4.0
AA,PHX,SAN,5.0
AA,DCA,FLL,11.0
AA,DFW,MCI,-21.0
B6,FLL,JFK,-6.0
B6,FLL,DCA,-15.0
AS,LAS,SEA,-16.0
DL,LAX,ATL,-22.0
DL,MSP,GRR,-7.0
EV,ORD,MSP,9.0
HA,HNL,LIH,8.0
MQ,ORD,CMH,-22.0
UA,EWR,MSY,-14.0
OO,DEN,FAT,-14.0
EV,JAN,IAH,-8.0
MQ,ORD,CLE,-8.0
OO,SLC,GTF,-10.0
OO,SLC,SMF,-10.0
OO,AUS,DEN,-3.0
DL,ATL,PBI,-11.0
OO,ABQ,IAH,-15.0
OO,PSP,SFO,-14.0
AA,DTW,DFW,13.0
AA,BWI,DFW,-7.0
DL,ATL,PNS,8.0
EV,LAW,DFW,-26.0
OO,BIS,MSP,7.0
OO,DEN,HYS,3.0
UA,DEN,ORD,-27.0
UA,ORD,SFO,-22.0
DL,PHL,ATL,-12.0
DL,ATL,BWI,-23.0
DL,MKE,MSP,-1.0
DL,ATL,STT,-4.0
DL,SLC,PDX,-23.0
DL,ATL,DEN,-7.0
DL,SLC,MSO,-10.0
DL,SLC,ABQ,-18.0
DL,TPA,LGA,-11.0
EV,DFW,SHV,-8.0
EV,SHV,ATL,-7.0
F9,DEN,SFO,-11.0
HA,HNL,SAN,-18.0
MQ,ORD,PIT,-18.0
MQ,ORD,BDL,-14.0
MQ,ORD,EWR,-17.0
OO,MKE,ORD,-11.0
OO,SLC,PSC,-10.0
OO,DEN,TUS,28.0
OO,DEN,SLC,2.0
VX,LAS,SFO,0.0
VX,SFO,SAN,-8.0
WN,DEN,IND,11.0
WN,DEN,MSP,-15.0
WN,SMF,ONT,-11.0
WN,SNA,LAS,-16.0
WN,FLL,DAL,-7.0
WN,IND,MCO,18.0
WN,LAS,PHX,5.0
WN,LAX,SJC,10.0
WN,MCO,MDW,-16.0
WN,MDW,DCA,-11.0
WN,MDW,JAX,1.0
WN,MDW,OMA,6.0
WN,MKE,PHX,7.0
WN,OAK,SAN,69.0
WN,PHL,MDW,-8.0
WN,PHX,AUS,10.0
WN,PHX,DEN,15.0
WN,PHX,LAS,14.0
WN,SDF,MDW,-4.0
WN,SEA,DAL,3.0
AA,ORD,RDU,-13.0
AA,DFW,LGA,-28.0
AA,DFW,SAT,-6.0
AA,ORD,DCA,-24.0
AA,DFW,AUS,-4.0
AA,JAC,DFW,43.0
AA,DCA,CLT,14.0
AA,PDX,PHX,-9.0
B6,BUF,FLL,11.0
B6,PBI,HPN,36.0
B6,BOS,DCA,-4.0
B6,RSW,JFK,8.0
AS,LAX,SEA,10.0
AS,SAN,PDX,-8.0
EV,COS,IAH,-14.0
OO,CVG,IAH,55.0
OO,SAT,IAH,-24.0
UA,DEN,SFO,-8.0
EV,BNA,EWR,-28.0
OO,MRY,LAX,49.0
OO,DEN,MTJ,2.0
UA,MSY,IAH,-19.0
UA,RSW,ORD,-16.0
AA,EWR,DFW,45.0
AA,AUS,DFW,28.0
MQ,CHA,ORD,-19.0
OO,DSM,MSP,-14.0
UA,LAS,IAH,-15.0
UA,MCO,IAH,-16.0
AA,IAD,DFW,-22.0
AA,PIT,DFW,30.0
HA,LIH,HNL,-2.0
AA,MSP,DFW,279.0
AS,ANC,CDV,5.0
DL,LAX,MSP,-8.0
DL,ATL,DCA,-20.0
DL,DTW,ATL,-1.0
DL,ATL,IAD,-15.0
EV,DFW,GRK,-13.0
EV,EWR,STL,5.0
MQ,DFW,SAF,-11.0
MQ,ORD,EVV,0.0
MQ,ORD,DTW,-10.0
NK,RSW,MSP,-10.0
NK,SAN,LAS,-5.0
OO,GJT,PHX,-12.0
OO,MSP,RHI,-3.0
OO,IAH,MSP,-30.0
OO,SLC,BIL,-16.0
OO,SLC,FAT,1.0
OO,DEN,PHX,10.0
UA,EWR,IAH,12.0
